,Issue No and Date,Particulars,URL
136,41 - dt. 02-11-2011,"Notifications or Orders regarding first appointments, investiture of magisterial powers, etc., issued by Secretariat Departments. Notifications or Orders of specific character or of particular interest to the public issued by Secretariat Departments. Notifications or Orders of interest to a section of the public issued by Secretariat Departments. Service Rules including Ad hoc Rules, Regulations, etc., issued by Secretariat Departments. Tamil Nadu Assembly Acts Notifications of interest to the General Public issued by Heads of Departments, Etc. Notifications of interest to a section of the public issued by Heads of Departments, etc. Advertisements by private individuals and private institutions",http://www.stationeryprinting.tn.gov.in/gazette/gazette_det2011.php?issueno=41
137,40 - dt. 26-10-2011,"Notifications or Orders regarding first appointments, investiture of magisterial powers, etc., issued by Secretariat Departments. Notifications or Orders of specific character or of particular interest to the public issued by Secretariat Departments. Notifications or Orders of interest to a section of the public issued by Secretariat Departments. General Statutory Rules, Notifications, Orders, Regulations, etc., issued by Secretariat Departments. Service Rules including Ad hoc Rules, Regulations, etc., issued by Secretariat Departments. Act No. 23/2011 Notifications of interest to the General Public issued by Heads of Departments, Etc. Notifications by Heads of Departments Notifications of interest to a section of the public issued by Heads of Departments, etc. Notifications issued by cost recoverable institutions of State and Central Governments. Notifications issued by Quasi-Government bodies and Public Sector Undertakings. Advertisements by private individuals and private institutions",http://www.stationeryprinting.tn.gov.in/gazette/gazette_det2011.php?issueno=40
138,39 - dt. 19-10-2011,"Notifications issued by cost recoverable institutions of State and Central Governments. Notifications issued by Quasi-Government bodies and Public Sector Undertakings. Advertisements by private individuals and private institutions Notifications or Orders regarding first appointments, investiture of magisterial powers, etc., issued by Secretariat Departments. Notifications or Orders of specific character or of particular interest to the public issued by Secretariat Departments. Notifications or Orders of interest to a section of the public issued by Secretariat Departments. General Statutory Rules, Notifications, Orders, Regulations, etc., issued by Secretariat Departments. Act No. 15/2011 Notifications of interest to the General Public issued by Heads of Departments, Etc. Notifications by Heads of Departments Notifications of interest to a section of the public issued by Heads of Departments, etc.",http://www.stationeryprinting.tn.gov.in/gazette/gazette_det2011.php?issueno=39
139,38 - dt. 05-10-2011,"Notifications or Orders regarding first appointments, investiture of magisterial powers, etc., issued by Secretariat Departments. Notifications or Orders of interest to a section of the public issued by Secretariat Departments. Service Rules including Ad hoc Rules, Regulations, etc., issued by Secretariat Departments. Notifications of interest to the General Public issued by Heads of Departments, Etc. NOTIFICATIONS BY HEADS OF DEPARTMENTS, ETC. Notifications of interest to a section of the public issued by Heads of Departments, etc. Notifications issued by cost recoverable institutions of State and Central Governments. Notifications issued by Quasi-Government bodies and Public Sector Undertakings. Advertisements by private individuals and private institutions",http://www.stationeryprinting.tn.gov.in/gazette/gazette_det2011.php?issueno=38
140,37 - dt. 28-09-2011,"Notifications or Orders regarding first appointments, investiture of magisterial powers, etc., issued by Secretariat Departments. Notifications or Orders of interest to a section of the public issued by Secretariat Departments. General Statutory Rules, Notifications, Orders, Regulations, etc., issued by Secretariat Departments. Notification by Government Tamil Translations Service Rules including Ad hoc Rules, Regulations, etc., issued by Secretariat Departments. Tamil Nadu Ordinance Notifications of interest to the General Public issued by Heads of Departments, Etc. Notifications by the Heads of the Department Notifications of interest to a section of the public issued by Heads of Departments, etc. Notifications issued by Quasi-Government bodies and Public Sector Undertakings. Advertisements by private individuals and private institutions",http://www.stationeryprinting.tn.gov.in/gazette/gazette_det2011.php?issueno=37
141,36 - dt. 21-09-2011,"Notifications or Orders regarding first appointments, investiture of magisterial powers, etc., issued by Secretariat Departments. Notifications or Orders of interest to a section of the public issued by Secretariat Departments. Notifications of interest to the General Public issued by Heads of Departments, Etc. Notifications of interest to a section of the public issued by Heads of Departments, etc. Advertisements by private individuals and private institutions",http://www.stationeryprinting.tn.gov.in/gazette/gazette_det2011.php?issueno=36
142,35 - dt. 14-09-2011,"Notifications or Orders regarding first appointments, investiture of magisterial powers, etc., issued by Secretariat Departments. Notifications or Orders of interest to a section of the public issued by Secretariat Departments. General Statutory Rules, Notifications, Orders, Regulations, etc. issued by Secretariat Departments. Service Rules including Ad hoc Rules, Regulations, etc. issued by Secretariat Departments. Statutory Notifications and Orders issued by Heads of Departments. Notifications of interest to the General Public issued by Heads of Departments, Etc. Notifications by the Heads of the Department Notifications of interest to a section of the public issued by Heads of Departments, etc. Notifications issued by cost recoverable institutions of State and Central Governments. Advertisements by private individuals and private institutions",http://www.stationeryprinting.tn.gov.in/gazette/gazette_det2011.php?issueno=35
143,34 - dt. 07-09-2011,"Notifications or Orders regarding first appointments, investiture of magisterial powers, etc., issued by Secretariat Departments. Notifications or Orders of interest to a section of the public issued by Secretariat Departments. NOTIFICATIONS BY GOVERNMENT Notifications of interest to the General Public issued by Heads of Departments, Etc. Notifications by the Heads of the Department Notifications of interest to a section of the public issued by Heads of Departments, etc. Advertisements by private individuals and private institutions",http://www.stationeryprinting.tn.gov.in/gazette/gazette_det2011.php?issueno=34
144,33 - dt. 31-08-2011,"Advertisements by private individuals and private institutions Notifications or Orders regarding first appointments, investiture of magisterial powers, etc., issued by Secretariat Departments. Notifications or Orders of interest to a section of the public issued by Secretariat Departments. Statutory Notifications and Orders issued by Heads of Departments. Notifications of interest to the General Public issued by Heads of Departments, Etc. Notifications by the Heads of the Departments Notifications of interest to a section of the public issued by Heads of Departments, etc. Notifications issued by cost recoverable institutions of State and Central Governments.",http://www.stationeryprinting.tn.gov.in/gazette/gazette_det2011.php?issueno=33
145,32 - dt. 24-08-2011,"Notifications or Orders regarding first appointments, investiture of magisterial powers, etc., issued by Secretariat Departments. Notifications or Orders of interest to a section of the public issued by Secretariat Departments. NOTIFICATIONS BY GOVERNMENT Notifications of interest to the General Public issued by Heads of Departments, Etc. NOTIFICATIONS OF HEADS OF DEPARTMENT Notifications of interest to a section of the public issued by Heads of Departments, etc. Notifications issued by Quasi-Government bodies and Public Sector Undertakings. Advertisements by private individuals and private institutions",http://www.stationeryprinting.tn.gov.in/gazette/gazette_det2011.php?issueno=32
146,31 - dt. 17-08-2011,"Notifications or Orders regarding first appointments, investiture of magisterial powers, etc., issued by Secretariat Departments. Notifications or Orders of interest to a section of the public issued by Secretariat Departments. Service Rules including Ad hoc Rules, Regulations, etc., issued by Secretariat Departments. Notifications of interest to the General Public issued by Heads of Departments, Etc. Notifications of interest to a section of the public issued by Heads of Departments, etc. Notifications issued by cost recoverable institutions of State and Central Governments. Advertisements by private individuals and private institutions",http://www.stationeryprinting.tn.gov.in/gazette/gazette_det2011.php?issueno=31
147,30 - dt. 10-08-2011,"Notifications or Orders regarding first appointments, investiture of magisterial powers, etc., issued by Secretariat Departments. Notifications or Orders of interest to a section of the public issued by Secretariat Departments. Notifications of interest to the General Public issued by Heads of Departments, Etc. Notifications by Heads of Departments Notifications of interest to a section of the public issued by Heads of Departments, etc. Notifications issued by cost recoverable institutions of State and Central Governments. Advertisements by private individuals and private institutions",http://www.stationeryprinting.tn.gov.in/gazette/gazette_det2011.php?issueno=30
148,29 - dt. 03-08-2011,"Notifications or Orders regarding first appointments, investiture of magisterial powers, etc., issued by Secretariat Departments. Notifications or Orders of specific character or of particular interest to the public issued by Secretariat Departments. Notifications or Orders of interest to a section of the public issued by Secretariat Departments. General Statutory Rules, Notifications, Orders, Regulations, etc., issued by Secretariat Departments. Service Rules including Ad hoc Rules, Regulations, etc., issued by Secretariat Departments. Notifications of interest to the General Public issued by Heads of Departments, Etc. Notifications issued by cost recoverable institutions of State and Central Governments. Advertisements by private individuals and private institutions",http://www.stationeryprinting.tn.gov.in/gazette/gazette_det2011.php?issueno=29
149,28 - dt. 27-07-2011,"Notifications or Orders regarding first appointments, investiture of magisterial powers, etc., issued by Secretariat Departments. Notifications or Orders of interest to a section of the public issued by Secretariat Departments. NOTIFICATIONS BY GOVERNMENT Statutory Notifications and Orders issued by Heads of Departments. Notifications of interest to the General Public issued by Heads of Departments, Etc. Notifications of interest to a section of the public issued by Heads of Departments, etc. Notifications issued by cost recoverable institutions of State and Central Governments. Advertisements by private individuals and private institutions Advertisements by private individuals and private institutions.",http://www.stationeryprinting.tn.gov.in/gazette/gazette_det2011.php?issueno=28
150,27 - dt. 20-07-2011,"Notifications or Orders regarding first appointments, investiture of magisterial powers, etc., issued by Secretariat Departments. Notifications or Orders of specific character or of particular interest to the public issued by Secretariat Departments. Notifications or Orders of interest to a section of the public issued by Secretariat Departments. Service Rules including Ad hoc Rules, Regulations, etc., issued by Secretariat Departments. Notifications of interest to the General Public issued by Heads of Departments, Etc. Notifications by Heads of Departments, Etc., Notifications by Heads of Departments, Etc., Notifications of interest to a section of the public issued by Heads of Departments, etc. Advertisements by private individuals and private institutions",http://www.stationeryprinting.tn.gov.in/gazette/gazette_det2011.php?issueno=27
151,26 - dt. 13-07-2011,"Notifications or Orders regarding first appointments, investiture of magisterial powers, etc., issued by Secretariat Departments. Notifications or Orders of interest to a section of the public issued by Secretariat Departments. Notification by Government Tamil Translations - Labour and Employment General Statutory Rules, Notifications, Orders, Regulations, etc., issued by Secretariat Departments. Notifications of interest to the General Public issued by Heads of Departments, Etc. Notifications of interest to a section of the public issued by Heads of Departments, etc. Notifications issued by cost recoverable institutions of State and Central Governments. Notifications issued by Quasi-Government bodies and Public Sector Undertakings. Advertisements by private individuals and private institutions",http://www.stationeryprinting.tn.gov.in/gazette/gazette_det2011.php?issueno=26
152,25 - dt. 06-07-2011,"Notifications or Orders regarding first appointments, investiture of magisterial powers, etc., issued by Secretariat Departments. Notifications or Orders of interest to a section of the public issued by Secretariat Departments. Notification by Government Tamil Translations - Labour and Employment Service Rules including Ad hoc Rules, Regulations, etc., issued by Secretariat Departments. Tamil Nadu Ordinance Notifications of interest to the General Public issued by Heads of Departments, Etc. Notifications of interest to a section of the public issued by Heads of Departments, etc. Notifications issued by cost recoverable institutions of State and Central Governments. Advertisements by private individuals and private institutions",http://www.stationeryprinting.tn.gov.in/gazette/gazette_det2011.php?issueno=25
153,24 - dt. 29-06-2011,"Notifications of interest to a section of the public issued by Heads of Departments, etc. Notifications issued by cost recoverable institutions of State and Central Governments. Advertisements by private individuals and private institutions Notifications or Orders regarding first appointments, investiture of magisterial powers, etc., issued by Secretariat Departments. Notifications or Orders of interest to a section of the public issued by Secretariat Departments. Notifications by Tamil Translations Tamil Nadu Assembly Acts Notifications of interest to the General Public issued by Heads of Departments, Etc. Notifications by Heads of Departments, Etc.",http://www.stationeryprinting.tn.gov.in/gazette/gazette_det2011.php?issueno=24
154,23 - dt. 22-06-2011,"Notifications or Orders regarding first appointments, investiture of magisterial powers, etc., issued by Secretariat Departments. Notifications or Orders of interest to a section of the public issued by Secretariat Departments. Service Rules including Ad hoc Rules, Regulations, etc., issued by Secretariat Departments. Tamil Nadu Ordinance Notifications of interest to the General Public issued by Heads of Departments, Etc. Notifications by the Heads of the Department Notifications issued by cost recoverable institutions of State and Central Governments. Notifications issued by Quasi-Government bodies and Public Sector Undertakings. Advertisements by private individuals and private institutions",http://www.stationeryprinting.tn.gov.in/gazette/gazette_det2011.php?issueno=23
155,22 - dt. 15-06-2011,"Notifications or Orders regarding first appointments, investiture of magisterial powers, etc., issued by Secretariat Departments. Notifications or Orders of interest to a section of the public issued by Secretariat Departments. Notification by Government Tamil Translations Statutory Notifications and Orders issued by Heads of Departments. Tamil Nadu Ordinance Notifications of interest to the General Public issued by Heads of Departments, Etc. Notifications by the Heads of the Department Notifications of interest to a section of the public issued by Heads of Departments, etc. Advertisements by private individuals and private institutions",http://www.stationeryprinting.tn.gov.in/gazette/gazette_det2011.php?issueno=22
156,21 - dt. 08-06-2011,"Notifications or Orders regarding first appointments, investiture of magisterial powers, etc., issued by Secretariat Departments. Notifications or Orders of interest to a section of the public issued by Secretariat Departments. Notifications by Heads of Departments Notifications of interest to the General Public issued by Heads of Departments, Etc. Notifications of interest to a section of the public issued by Heads of Departments, etc. Notifications issued by Quasi-Government bodies and Public Sector Undertakings. Advertisements by private individuals and private institutions",http://www.stationeryprinting.tn.gov.in/gazette/gazette_det2011.php?issueno=21
157,20 - dt. 01-06-2011,"Notifications or Orders regarding first appointments, investiture of magisterial powers, etc., issued by Secretariat Departments. Notifications or Orders of interest to a section of the public issued by Secretariat Departments. Notifications by Heads of the Departments Service Rules including Ad hoc Rules, Regulations, etc., issued by Secretariat Departments. Notifications of interest to the General Public issued by Heads of Departments, Etc. Notifications by Heads of the Departments Notifications of interest to a section of the public issued by Heads of Departments, etc. Notifications issued by Quasi-Government bodies and Public Sector Undertakings. Advertisements by private individuals and private institutions",http://www.stationeryprinting.tn.gov.in/gazette/gazette_det2011.php?issueno=20
158,19 - dt. 25-05-2011,"Notifications or Orders regarding first appointments, investiture of magisterial powers, etc., issued by Secretariat Departments. Notifications or Orders of interest to a section of the public issued by Secretariat Departments. Notifications of interest to the General Public issued by Heads of Departments, Etc. Notifications of interest to a section of the public issued by Heads of Departments, etc. Notifications issued by cost recoverable institutions of State and Central Governments. Advertisements by private individuals and private institutions",http://www.stationeryprinting.tn.gov.in/gazette/gazette_det2011.php?issueno=19
159,18 - dt. 18-05-2011,"Service Rules including Ad hoc Rules, Regulations, etc., issued by Secretariat Departments. Notifications of interest to the General Public issued by Heads of Departments, Etc. Notifications of interest to a section of the public issued by Heads of Departments, etc. Notifications issued by cost recoverable institutions of State and Central Governments. Notifications issued by Quasi-Government bodies and Public Sector Undertakings. Advertisements by private individuals and private institutions Notifications or Orders regarding first appointments, investiture of magisterial powers, etc., issued by Secretariat Departments. NOTIFICATIONS BY GOVERNMENT Notifications or Orders of interest to a section of the public issued by Secretariat Departments.",http://www.stationeryprinting.tn.gov.in/gazette/gazette_det2011.php?issueno=18
160,17 - dt. 11-05-2011,"Notifications or Orders regarding first appointments, investiture of magisterial powers, etc., issued by Secretariat Departments. Notifications or Orders of specific character or of particular interest to the public issued by Secretariat Departments. Notification by Government Tamil Translations Notifications or Orders of interest to a section of the public issued by Secretariat Departments. Notification by Government Tamil Translations Notification by Government Tamil Translations Notifications of interest to the General Public issued by Heads of Departments, Etc. Notifications of interest to a section of the public issued by Heads of Departments, etc. Advertisements by private individuals and private institutions",http://www.stationeryprinting.tn.gov.in/gazette/gazette_det2011.php?issueno=17
161,16 - dt. 04-05-2011,"Notifications or Orders regarding first appointments, investiture of magisterial powers, etc., issued by Secretariat Departments. Notifications or Orders of interest to a section of the public issued by Secretariat Departments. Notification by Government Tamil Translations Departments. Notification by Government Tamil Translations Departments Notifications of interest to the General Public issued by Heads of Departments, Etc. Notifications by Heads of the Department Notifications of interest to a section of the public issued by Heads of Departments, etc. Notifications issued by cost recoverable institutions of State and Central Governments. Notifications issued by Quasi-Government bodies and Public Sector Undertakings. Advertisements by private individuals and private institutions",http://www.stationeryprinting.tn.gov.in/gazette/gazette_det2011.php?issueno=16
162,15 - dt. 27-04-2011,"Notifications or Orders regarding first appointments, investiture of magisterial powers, etc., issued by Secretariat Departments. Notifications or Orders of interest to a section of the public issued by Secretariat Departments. Service Rules including Ad hoc Rules, Regulations, etc., issued by Secretariat Departments. Notifications of interest to the General Public issued by Heads of Departments, Etc. Notifications by Heads of the Department Notifications of interest to a section of the public issued by Heads of Departments, etc. Notifications issued by cost recoverable institutions of State and Central Governments. Advertisements by private individuals and private institutions",http://www.stationeryprinting.tn.gov.in/gazette/gazette_det2011.php?issueno=15
163,14 - dt. 20-04-2011,"Notifications or Orders regarding first appointments, investiture of magisterial powers, etc., issued by Secretariat Departments. Notifications or Orders of interest to a section of the public issued by Secretariat Departments. Service Rules including Ad hoc Rules, Regulations, etc., issued by Secretariat Departments. Notifications of interest to the General Public issued by Heads of Departments, Etc. Notifications of interest to a section of the public issued by Heads of Departments, etc. Advertisements by private individuals and private institutions",http://www.stationeryprinting.tn.gov.in/gazette/gazette_det2011.php?issueno=14
164,13 - dt. 13-04-2011,"Notifications or Orders regarding first appointments, investiture of magisterial powers, etc., issued by Secretariat Departments. Notifications or Orders of interest to a section of the public issued by Secretariat Departments. Service Rules including Ad hoc Rules, Regulations, etc., issued by Secretariat Departments. Tamil Nadu Ordinance Notifications of interest to the General Public issued by Heads of Departments, etc. Notifications by the Heads of the Department Notifications of interest to a section of the public issued by Heads of Departments, etc. Notifications by Heads of Departments, etc. Notifications issued by cost recoverable institutions of State and Central Governments. Advertisements by private individuals and private institutions",http://www.stationeryprinting.tn.gov.in/gazette/gazette_det2011.php?issueno=13
165,12 - dt. 30-03-2011,"Notifications or Orders regarding first appointments, investiture of magisterial powers, etc., issued by Secretariat Departments. Notifications or Orders of interest to a section of the public issued by Secretariat Departments. Statutory Notifications and Orders issued by Heads of Departments. Tamil Nadu Assembly Acts Notifications of interest to the General Public issued by Heads of Departments, Etc. Notifications of interest to a section of the public issued by Heads of Departments, etc. NOTIFICATIONS BY HEADS OF DEPARTMENTS, ETC. Notifications issued by cost recoverable institutions of State and Central Governments. Advertisements by private individuals and private institutions",http://www.stationeryprinting.tn.gov.in/gazette/gazette_det2011.php?issueno=12
166,11 - dt. 23-03-2011,"Notifications or Orders regarding first appointments, investiture of magisterial powers, etc., issued by Secretariat Departments. Notifications or Orders of interest to a section of the public issued by Secretariat Departments. Notification by Government - Tamil Transiation Tamil Nadu Act No. 1 of 2011 Notifications of interest to the General Public issued by Heads of Departments, Etc. Notifications of interest to a section of the public issued by Heads of Departments, etc. Notifications issued by Quasi-Government bodies and Public Sector Undertakings. Advertisements by private individuals and private institutions",http://www.stationeryprinting.tn.gov.in/gazette/gazette_det2011.php?issueno=11
167,10 - dt. 16-03-2011,"Notifications or Orders regarding first appointments, investiture of magisterial powers, etc., issued by Secretariat Departments. Notifications or Orders of interest to a section of the public issued by Secretariat Departments. Tamil Nadu Assembly Acts CENTRAL ACTS AND ORDINANCES Notifications of interest to the General Public issued by Heads of Departments, Etc. Notifications by the Heads of the Department Notifications of interest to a section of the public issued by Heads of Departments, etc. Notifications issued by cost recoverable institutions of State and Central Governments. Advertisements by private individuals and private institutions",http://www.stationeryprinting.tn.gov.in/gazette/gazette_det2011.php?issueno=10
168,9 - dt. 09-03-2011,"Notifications or Orders regarding first appointments, investiture of magisterial powers, etc., issued by Secretariat Departments. Notifications or Orders of interest to a section of the public issued by Secretariat Departments. General Statutory Rules, Notifications, Orders, Regulations, etc., issued by Secretariat Departments. Notifications of interest to the General Public issued by Heads of Departments, Etc. Notifications of interest to the General Public issued by Heads of Departments, Etc. Notifications of interest to a section of the public issued by Heads of Departments, etc. Notifications issued by Quasi-Government bodies and Public Sector Undertakings. Advertisements by private individuals and private institutions",http://www.stationeryprinting.tn.gov.in/gazette/gazette_det2011.php?issueno=9
169,8 - dt. 02-03-2011,"Notifications or Orders regarding first appointments, investiture of magisterial powers, etc., issued by Secretariat Departments. Notifications or Orders of specific character or of particular interest to the public issued by Secretariat Departments. Notifications or Orders of interest to a section of the public issued by Secretariat Departments. General Statutory Rules, Notifications, Orders, Regulations, etc., issued by Secretariat Departments. Service Rules including Ad hoc Rules, Regulations, etc., issued by Secretariat Departments. Notifications of interest to the General Public issued by Heads of Departments, Etc. Notifications of interest to a section of the public issued by Heads of Departments, etc. Advertisements by private individuals and private institutions",http://www.stationeryprinting.tn.gov.in/gazette/gazette_det2011.php?issueno=8
170,7 - dt. 23-02-2011,"Notifications or Orders regarding first appointments, investiture of magisterial powers, etc., issued by Secretariat Departments. Notifications or Orders of interest to a section of the public issued by Secretariat Departments. General Statutory Rules, Notifications, Orders, Regulations, etc., issued by Secretariat Departments. Service Rules including Ad hoc Rules, Regulations, etc., issued by Secretariat Departments. Tamil Nadu Ordinance Notifications of interest to the General Public issued by Heads of Departments, Etc. Notifications of interest to a section of the public issued by Heads of Departments, etc. Notifications issued by cost recoverable institutions of State and Central Governments. Advertisements by private individuals and private institutions",http://www.stationeryprinting.tn.gov.in/gazette/gazette_det2011.php?issueno=7
171,6 - dt. 16-02-2011,"Notifications or Orders regarding first appointments, investiture of magisterial powers, etc., issued by Secretariat Departments. Notifications or Orders of specific character or of particular interest to the public issued by Secretariat Departments. Notifications or Orders of interest to a section of the public issued by Secretariat Departments. Service Rules including Ad hoc Rules, Regulations, etc., issued by Secretariat Departments. Notifications of interest to the General Public issued by Heads of Departments, Etc. NOTIFICATIONS BY HEADS OF DEPARTMENTS, ETC. Notifications of interest to a section of the public issued by Heads of Departments, etc. Notifications issued by cost recoverable institutions of State and Central Governments. Advertisements by private individuals and private institutions NOTIFICATIONS BY HEADS OF DEPARTMENTS, ETC.",http://www.stationeryprinting.tn.gov.in/gazette/gazette_det2011.php?issueno=6
172,5 - dt. 09-02-2011,"Notifications or Orders regarding first appointments, investiture of magisterial powers, etc., issued by Secretariat Departments. Notifications or Orders of interest to a section of the public issued by Secretariat Departments. General Statutory Rules, Notifications, Orders, Regulations, etc., Issued by Secretariat Departments. Service Rules including Ad hoc Rules, Regulations, etc.,issued by Secretariat Departments. Notifications of interest to the General Public issued by Heads of Departments, etc. Notifications of interest to a section of the public issued by Heads of Departments, etc. Advertisements by private individuals and private institutions",http://www.stationeryprinting.tn.gov.in/gazette/gazette_det2011.php?issueno=5
173,4 - dt. 02-02-2011,"Notifications or Orders regarding first appointments, investiture of magisterial powers, etc., issued by Secretariat Departments. Notifications or Orders of specific character or of particular interest to the public issued by Secretariat Departments. Notifications or Orders of interest to a section of the public issued by Secretariat Departments. Tamil Nadu Ordinance Notifications of interest to the General Public issued by Heads of Departments, Etc. Notifications of interest to the General Public issued by Heads of Departments, Etc. Notifications of interest to a section of the public issued by Heads of Departments, etc. Notifications issued by cost recoverable institutions of State and Central Governments. Notifications issued by Quasi-Government bodies and Public Sector Undertakings. Advertisements by private individuals and private institutions",http://www.stationeryprinting.tn.gov.in/gazette/gazette_det2011.php?issueno=4
174,3 - dt. 26-01-2011,"Notifications or Orders regarding first appointments, investiture of magisterial powers, etc., issued by Secretariat Departments. Notifications or Orders of specific character or of particular interest to the public issued by Secretariat Departments. Notifications or Orders of interest to a section of the public issued by Secretariat Departments. General Statutory Rules, Notifications, Orders, Regulations, etc., issued by Secretariat Departments. Service Rules including Ad hoc Rules, Regulations, etc., issued by Secretariat Departments. Statutory Notifications and Orders issued by Heads of Departments. Notifications of interest to the General Public issued by Heads of Departments, Etc. Notifications of interest to a section of the public issued by Heads of Departments, etc. Notifications issued by cost recoverable institutions of State and Central Governments. Notifications issued by Quasi-Government bodies and Public Sector Undertakings. Advertisements by private individuals and private institutions",http://www.stationeryprinting.tn.gov.in/gazette/gazette_det2011.php?issueno=3
175,2 - dt. 12-01-2011,"Notifications or Orders regarding first appointments, investiture of magisterial powers, etc., issued by Secretariat Departments. Notifications or Orders of specific character or of particular interest to the public issued by Secretariat Departments. Notifications or Orders of interest to a section of the public issued by Secretariat Departments. Notifications of interest to the General Public issued by Heads of Departments, etc. Notifications of interest to a section of the public issued by Heads of Departments, etc. Notifications issued by Quasi-Government bodies and Public Sector Undertakings. Advertisements by private individuals and private institutions",http://www.stationeryprinting.tn.gov.in/gazette/gazette_det2011.php?issueno=2
176,1 - dt. 05-01-2011,"Notifications or Orders regarding first appointments, investiture of magisterial powers, etc., issued by Secretariat Departments. Notifications or Orders of interest to a section of the public issued by Secretariat Departments. General Statutory Rules, Notifications, Orders, Regulations, etc., issued by Secretariat Departments. Service Rules including Ad hoc Rules, Regulations, etc., issued by Secretariat Departments. Notifications of interest to the General Public issued by Heads of Departments, etc. Notifications of interest to a section of the public issued by Heads of Departments, etc. Notifications issued by cost recoverable institutions of State and Central Governments Notifications issued by Quasi-Government bodies and Public Sector Undertakings. Advertisements by private individuals and private institutions",http://www.stationeryprinting.tn.gov.in/gazette/gazette_det2011.php?issueno=1
177,50 - dt. 26-12-2012,"Notifications or Orders regarding first appointments, investiture of magisterial powers, etc., issued by Secretariat Departments. General Statutory Rules, Notifications, Orders, Regulations, etc., issued by Secretariat Departments. Service Rules including Ad hoc Rules, Regulations, etc., issued by Secretariat departments. Statutory Notifications and Orders issued by Heads of Departments. Notifications or Orders of interest to a section of the public issued by Secretariat Departments. Notifications of interest to the General Public issued by Heads of Departments, Etc. NOTIFICATIONS BY HEADS OF DEPARTMENTS, ETC. Notifications of interest to a section of the public issued by Heads of Departments, etc. Advertisements by private individuals and private institutions",http://www.stationeryprinting.tn.gov.in/gazette/gazette_det2012.php?issueno=50
178,49 - dt. 19-12-2012,"Notifications or Orders regarding first appointments, investiture of magisterial powers, etc., issued by Secretariat Departments. Notifications or Orders of specific character or of particular interest to the public issued by Secretariat Departments. Notifications or Orders of interest to a section of the public issued by Secretariat Departments. Notifications by Heads of Departments, Etc. Notifications of interest to the General Public issued by Heads of Departments, Etc. Notifications by Heads of Departments, Etc. Notifications of interest to a section of the public issued by Heads of Departments, etc. Notifications issued by Quasi-Government bodies and Public Sector Undertakings. Advertisements by private individuals and private institutions",http://www.stationeryprinting.tn.gov.in/gazette/gazette_det2012.php?issueno=49
179,48 - dt. 12-12-2012,"Notifications or Orders regarding first appointments, investiture of magisterial powers, etc., issued by Secretariat Departments. Notifications or Orders of specific character or of particular interest to the public issued by Secretariat Departments. Notifications or Orders of interest to a section of the public issued by Secretariat Departments. Notifications of interest to the General Public issued by Heads of Departments, Etc. NOTIFICATIONS BY HEADS OF DEPARTMENTS, ETC. Notifications of interest to a section of the public issued by Heads of Departments, etc. Notifications issued by cost recoverable institutions of State and Central Governments. Advertisements by private individuals and private institutions Statutory Notifications and Orders issued by Heads of Departments.",http://www.stationeryprinting.tn.gov.in/gazette/gazette_det2012.php?issueno=48
180,47 - dt. 05-12-2012,"Notifications or Orders regarding first appointments, investiture of magisterial powers, etc., issued by Secretariat Departments. Notifications or Orders of interest to a section of the public issued by Secretariat Departments. General Statutory Rules, Notifications, Orders, Regulations, etc., issued by Secretariat Departments. Notifications of interest to the General Public issued by Heads of Departments, Etc. NOTIFICATIONS BY HEADS OF DEPARTMENTS, ETC., Notifications of interest to a section of the public issued by Heads of Departments, etc. Notifications issued by cost recoverable institutions of State and Central Governments. Advertisements by private individuals and private institutions",http://www.stationeryprinting.tn.gov.in/gazette/gazette_det2012.php?issueno=47
181,46 - dt. 28-11-2012,"NOTIFICATIONS BY GOVERNMENT Notifications or Orders regarding first appointments, investiture of magisterial powers, etc., issued by Secretariat Departments. Notifications or Orders of specific character or of particular interest to the public issued by Secretariat Departments. Notifications or Orders of interest to a section of the public issued by Secretariat Departments. Notifications of interest to the General Public issued by Heads of Departments, Etc. Notifications by Heads of Departments, Etc., Notifications of interest to a section of the public issued by Heads of Departments, etc. Advertisements by private individuals and private institutions",http://www.stationeryprinting.tn.gov.in/gazette/gazette_det2012.php?issueno=46
182,45 - dt. 21-11-2012,"Notifications or Orders regarding first appointments, investiture of magisterial powers, etc., issued by Secretariat Departments. Notifications or Orders of specific character or of particular interest to the public issued by Secretariat Departments. Notifications or Orders of interest to a section of the public issued by Secretariat Departments. General Statutory Rules, Notifications, Orders, Regulations, etc., issued by Secretariat Departments. TAMIL NADU ASSEMBLY ACTS Service Rules including Ad hoc Rules, Regulations, etc., issued by Secretariat Departments. Notifications of interest to the General Public issued by Heads of Departments, Etc. NOTIFICATIONS BY HEADS OF DEPARTMENTS, ETC. Advertisements by private individuals and private institutions Notifications or Orders regarding first appointments, investiture of magisterial powers, etc., issued by Secretariat Departments. Notifications or Orders of specific character or of particular interest to the public issued by Secretariat Departments. Notifications or Orders of interest to a section of the public issued by Secretariat Departments. Service Rules including Ad hoc Rules, Regulations, etc., issued by Secretariat Departments. Notifications of interest to the General Public issued by Heads of Departments, Etc. Notification by Heads of Department Notifications of interest to a section of the public issued by Heads of Departments, etc. Notifications issued by cost recoverable institutions of State and Central Governments. Notifications issued by Quasi-Government bodies and Public Sector Undertakings. Advertisements by private individuals and private institutions",http://www.stationeryprinting.tn.gov.in/gazette/gazette_det2012.php?issueno=45
