,Issue No and Date,Particulars,URL
23,41 - dt. 22-10-2008,"Notifications or Orders regarding first appointments, investiture of magisterial powers, etc., issued by Secretariat Departments. Notifications or Orders of specific character or of particular interest to the public issued by Secretariat Departments. Notifications or Orders of interest to a section of the public issued by Secretariat Departments. General Statutory Rules, Notifications, Orders, Regulations, etc., issued by Secretariat Departments. Service Rules including Ad hoc Rules, Regulations, etc., issued by Secretariat Departments. Notifications of interest to the General Public issued by Heads of Departments, Etc. Supplement - Heads of Departments Announcements Notifications of interest to a section of the public issued by Heads of Departments, etc. Supplement - NOTIFICATIONS BY HEADS OF DEPARTMENTS, ETC. - Revised Syllabus for Diploma in Teacher Education Programme Supplement - NOTIFICATIONS BY HEADS OF DEPARTMENTS, ETC. - TAMIL NADU ELECTRICITY REGULATORY COMMISSION Notifications issued by cost recoverable institutions of State and Central Governments. Advertisements by private individuals and private institutions.- Change of Names",http://www.stationeryprinting.tn.gov.in/gazette/gazette_det2008.php?issueno=41
24,40 - dt. 15-10-2008,"Notifications or Orders regarding first appointments, invetiture of magisterial powers, etc., issued by Secretariat Departments Notifications or Orders of specific character or of particular interest to the public issued by Secretariat Departments Notifications or Orders of Interest to a section of the public issued by Secretariat Departments General Statutory Rules, Notifications, Orders, Regulations, etc., issued by Secretariat Departments Service Rules including Adhoc Rules, Regulations, etc., issued by Secretariat Departments Supplement - Tamil Nadu Teachers Education University Act - 2008 Notifications of interest to the General Public issued by Heads of Departments, etc., Notifications of interest to a section of the public issued by Heads of Departments, etc. Advertisements by Private individuals and private institutions",http://www.stationeryprinting.tn.gov.in/gazette/gazette_det2008.php?issueno=40
25,39 - dt. 01-10-2008,"Notifications or Orders regarding first appointments, invetiture of magisterial powers, etc., issued by Secretariat Departments Notifications or Orders of specific character or of particular interest to the public issued by Secretariat Departments Notifications or Orders of Interest to a section of the public issued by Secretariat Departments Notifications of interest to the General Public issued by Heads of Departments, Etc. Notifications or Orders of Interest to a section of the public issued by Secretariat Departments(Tamil) Notifications of interest to the General Public issued by Heads of Departments, Etc. Notifications by Heads of Departments, Etc. Advertisements by private individuals and private institutions",http://www.stationeryprinting.tn.gov.in/gazette/gazette_det2008.php?issueno=39
26,51 - dt. 30-12-2009,"Notifications or Orders regarding first appointments, investiture of magisterial powers, etc., issued by Secretariat Departments., Notifications or Orders of specific character or of particular interest to the public issued by Secretariat Departments. Notifications or Orders of interest to a section of the public issued by Secretariat Departments. Service Rules including Ad hoc Rules, Regulations, etc., issued by Secretariat Departments. Statutory Notifications and Orders issued by Heads of Departments. Notifications of interest to the General Public issued by Heads of Departments, Etc. Notifications of interest to a section of the public issued by Heads of Departments, etc. Notifications issued by cost recoverable institutions of State and Central Governments. Advertisements by private individuals and private institutions",http://www.stationeryprinting.tn.gov.in/gazette/gazette_det2009.php?issueno=51
27,50 - dt. 23-12-2009,"Notifications or Orders regarding first appointments, investiture of magisterial powers, etc., issued by Secretariat Departments. Notifications or Orders of specific character or of particular interest to the public issued by Secretariat Departments. Notifications or Orders of interest to a section of the public issued by Secretariat Departments. Notification by Government-Tamil Translation Service Rules including Ad hoc Rules, Regulations, etc., issued by Secretariat Departments. Statutory Notifications and Orders issued by Heads of Departments. Notifications of interest to the General Public issued by Heads of Departments, Etc. Notifications of interest to a section of the public issued by Heads of Departments, etc. Notifications issued by cost recoverable institutions of State and Central Governments. Notifications issued by Quasi-Government bodies and Public Sector Undertakings. Advertisements by private individuals and private institutions",http://www.stationeryprinting.tn.gov.in/gazette/gazette_det2009.php?issueno=50
28,49 - dt. 16-12-2009,"Notifications or Orders of interest to a section of the public issued by Secretariat Departments. NOTIFICATIONS BY GOVERNMENT General Statutory Rules, Notifications, Orders, Regulations, etc., issued by Secretariat Departments. Service Rules including Ad hoc Rules, Regulations, etc., issued by Secretariat Departments. Tamil Nadu Ordinance Act. Notifications of interest to the General Public issued by Heads of Departments, Etc. Notifications by Heads of the Department. Notifications of interest to a section of the public issued by Heads of Departments, etc. Advertisements by private individuals and private institutions Notifications or Orders regarding first appointments, investiture of magisterial powers, etc., issued by Secretariat Departments. Notifications or Orders of specific character or of particular interest to the public issued by Secretariat Departments.",http://www.stationeryprinting.tn.gov.in/gazette/gazette_det2009.php?issueno=49
29,48 - dt. 09-12-2009,"Notifications or Orders regarding first appointments, investiture of magisterial powers, etc., issued by Secretariat Departments. Notifications or Orders of interest to a section of the public issued by Secretariat Departments. General Statutory Rules, Notifications, Orders, Regulations, etc., issued by Secretariat Departments. General Statutory Rules, Notifications, Orders, Regulations, etc., issued by Secretariat Departments. Service Rules including Ad hoc Rules, Regulations, etc., issued by Secretariat Departments. Notifications of interest to the General Public issued by Heads of Departments, Etc. Notifications of interest to a section of the public issued by Heads of Departments, etc. Notifications issued by cost recoverable institutions of State and Central Governments. Advertisements by private individuals and private institutions",http://www.stationeryprinting.tn.gov.in/gazette/gazette_det2009.php?issueno=48
30,47 - dt. 02-12-2009,"Notifications or Orders regarding first appointments, investiture of magisterial powers, etc., issued by Secretariat Departments. Notifications or Orders of specific character or of particular interest to the public issued by Secretariat Departments. Notifications or Orders of interest to a section of the public issued by Secretariat Departments. General Statutory Rules, Notifications, Orders, Regulations, etc., issued by Secretariat Departments. Service Rules including Ad hoc Rules, Regulations, etc., issued by Secretariat Departments. Notifications of interest to the General Public issued by Heads of Departments, Etc. Notifications of interest to a section of the public issued by Heads of Departments, etc. Notifications issued by cost recoverable institutions of State and Central Governments. Notifications issued by Quasi-Government bodies and Public Sector Undertakings. Advertisements by private individuals and private institutions",http://www.stationeryprinting.tn.gov.in/gazette/gazette_det2009.php?issueno=47
31,46 - dt. 25-11-2009,"Notifications of interest to a section of the public issued by Heads of Departments, etc. Notifications issued by cost recoverable institutions of State and Central Governments. Advertisements by private individuals and private institutions Notifications or Orders regarding first appointments, investiture of magisterial powers, etc., issued by Secretariat Departments. Notifications or Orders of specific character or of particular interest to the public issued by Secretariat Departments. Notifications or Orders of interest to a section of the public issued by Secretariat Departments. General Statutory Rules, Notifications, Orders, Regulations, etc., issued by Secretariat Departments. Service Rules including Ad hoc Rules, Regulations, etc., issued by Secretariat Departments. Tamil Nadu Ordinance Act. Notifications of interest to the General Public issued by Heads of Departments, Etc. Notifications by Heads of Departments",http://www.stationeryprinting.tn.gov.in/gazette/gazette_det2009.php?issueno=46
32,45 - dt. 18-11-2009,"Notifications or Orders regarding first appointments, investiture of magisterial powers, etc., issued by Secretariat Departments. Notifications or Orders of specific character or of particular interest to the public issued by Secretariat Departments. Notifications or Orders of specific character or of particular interest to the public issued by Secretariat Departments. Notifications or Orders of interest to a section of the public issued by Secretariat Departments. Notifications or Orders of interest to a section of the public issued by Secretariat Departments. General Statutory Rules, Notifications, Orders, Regulations, etc., issued by Secretariat Departments. General Statutory Rules, Notifications, Orders, Regulations, etc., issued by Secretariat Departments. Service Rules including Ad hoc Rules, Regulations, etc., issued by Secretariat Departments. Notifications of interest to the General Public issued by Heads of Departments, Etc. Notifications of interest to a section of the public issued by Heads of Departments, etc. Notifications issued by cost recoverable institutions of State and Central Governments. Advertisements by private individuals and private institutions",http://www.stationeryprinting.tn.gov.in/gazette/gazette_det2009.php?issueno=45
